                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4094,                 5.2031,                 4.1765,                 0.0037,                0.03933,                0.00305,                0.00102,                 3.4382,                 12.358,                 4.5256,               0.070042,              0.0033287,              0.0033287
                      1,                 3.3394,                  5.057,                 4.0896,                0.00243,                0.26477,                0.00263,                0.00082,                  3.299,                 49.598,                  5.029,               0.039995,              0.0066149,              0.0066149
                      2,                 3.1574,                 4.9067,                 3.9693,                 0.0023,                0.28208,                0.00204,                0.00064,                 3.1323,                    inf,                 4.9734,              0.0099003,               0.009854,               0.009854
                      3,                 2.9489,                 4.6782,                 3.7223,                0.00964,                  0.088,                0.00701,                 0.0018,                 2.9295,                 6.7539,                 3.8828,              0.0097879,              0.0097879,              0.0097879
                      4,                 2.6682,                 4.2712,                 3.4289,                0.03477,                0.12613,                0.01795,                0.00466,                 2.9468,                 15.095,                 3.5734,              0.0097879,              0.0097879,              0.0097879
                      5,                 2.5205,                  3.784,                 3.1177,                0.11118,                0.20177,                0.07765,                0.01914,                 2.6955,                 4.8092,                 3.1424,              0.0097171,              0.0097171,              0.0097171
                      6,                 2.3487,                 3.4051,                 2.8664,                0.22747,                0.24256,                0.17879,                0.06113,                 2.3914,                  3.105,                 2.8285,              0.0096464,              0.0096464,              0.0096464
                      7,                  2.169,                 3.0752,                 2.6534,                0.14892,                0.19007,                  0.095,                0.02769,                  2.343,                 4.2374,                 2.9255,              0.0095757,              0.0095757,              0.0095757
                      8,                 2.0863,                 2.8073,                  2.536,                0.57885,                0.23103,                0.23105,                0.09116,                 2.1284,                 3.5548,                 2.6478,               0.009505,               0.009505,               0.009505
                      9,                 1.9859,                 2.5746,                 2.4195,                0.60631,                0.18288,                0.15268,                0.05626,                 2.3048,                 5.0121,                 2.7833,              0.0094343,              0.0094343,              0.0094343
                     10,                 1.9227,                 2.4885,                 2.3735,                 0.5574,                0.39171,                0.41613,                0.18367,                 1.9661,                 2.6363,                 2.4309,              0.0093636,              0.0093636,              0.0093636
                     11,                 1.8731,                 2.3781,                 2.3115,                0.25678,                0.29296,                0.21614,                0.08358,                 2.2652,                 3.1135,                 2.7208,              0.0092929,              0.0092929,              0.0092929
                     12,                 1.8272,                  2.279,                 2.2715,                0.39732,                0.55009,                 0.4062,                0.18297,                 1.9335,                 2.5308,                 2.3832,              0.0092221,              0.0092221,              0.0092221
                     13,                 1.8118,                 2.2265,                 2.2548,                0.51352,                 0.3927,                0.39122,                0.17278,                 1.8914,                 2.3965,                 2.4211,              0.0091514,              0.0091514,              0.0091514
                     14,                 1.7467,                 2.1591,                 2.2032,                0.68097,                0.25094,                  0.301,                0.12801,                 2.1646,                 3.1117,                 2.6645,              0.0090807,              0.0090807,              0.0090807
                     15,                 1.7365,                 2.1041,                 2.1873,                0.38494,                0.59979,                0.49824,                0.24002,                 1.7757,                  2.239,                 2.2835,                0.00901,                0.00901,                0.00901
                     16,                 1.7311,                 2.0646,                 2.1781,                0.46019,                 0.5177,                0.45597,                0.21312,                 1.7876,                 2.1935,                 2.2602,              0.0089393,              0.0089393,              0.0089393
                     17,                 1.6875,                 2.0226,                 2.1271,                0.65115,                0.48025,                0.50819,                0.24275,                  1.716,                 2.0149,                 2.1821,              0.0088686,              0.0088686,              0.0088686
